brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url1,img_url2,img_url3,img_url4,img_url5
Lenovo,ThinkPad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,512 GB,Windows,64-bit,0,ThinNlight,Missing,3,Yes,No,125394,146680,14,0,0,0,,,,,
Lenovo,Missing,Intel,Core i5,7th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,2,Casual,Missing,0,No,No,57999,82999,30,0,0,0,,,,,
Lenovo,B50-70,Intel,Core i5,4th,8 GB GB,DDR3,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,52490,0,0,3.8,78,17,,,,,
Lenovo,Ideapad,Intel,Core i5,8th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,4,Casual,Missing,1,No,No,56990,62594,8,4,21,5,,,,,
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,59990,93690,35,4.3,52,4,,,,,
Lenovo,Legion,Intel,Core i5,9th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Casual,15.6,1,No,Yes,60990,86690,29,4.3,131,17,,,,,
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,65990,99290,33,4.2,241,19,,,,,
Lenovo,IdeaPad,Intel,Core i5,10th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Gaming,Missing,0,No,No,74590,109990,32,4.4,898,128,,,,,
Lenovo,IdeaPad,Intel,Core i5,10th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Gaming,Missing,0,No,No,74999,75500,0,4.3,268,25,,,,,
Lenovo,IdeaPad,Intel,Core i7,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,68990,99290,30,4.5,44,2,,,,,
Lenovo,IdeaPad,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,85990,125890,31,4.4,77,10,,,,,
Lenovo,Legion,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,Yes,99990,153490,34,4.4,11,3,,,,,
Lenovo,IdeaPad,Intel,Core i7,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,79990,118890,32,4,5,2,,,,,
Lenovo,Thinkbook,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,3,Yes,Yes,84990,109696,22,4.5,13,2,,,,,
Lenovo,Missing,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,16,0,Yes,No,88488,96995,8,0,0,0,,,,,
Lenovo,ThinkPad,Intel,Core i7,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,3,No,No,174527,0,0,0,0,0,./public/imagelaptop/Lenovo-thinkpad-corei7.png,./public/imagelaptop/Lenovo-thinkpad-corei72.png,./public/imagelaptop/Lenovo-thinkpad-corei73.png,,
Lenovo,ThinkPad,Intel,Core i7,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,162299,178999,9,0,0,0,,,,,
Lenovo,Missing,Intel,Core i7,8th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,ThinNlight,16,0,No,No,244801,0,0,0,0,0,,,,,
Lenovo,Ideapad,Intel,Core i7,8th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,86000,0,0,0,0,0,,,,,
Lenovo,Missing,Intel,Core i7,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,16,0,No,No,162399,206997,21,0,0,0,,,,,
Lenovo,Missing,Intel,Core i7,10th,16 GB GB,LPDDR3,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,0,No,No,211753,214760,1,0,0,0,,,,,
Lenovo,Intel,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,14,0,No,No,110999,139000,20,0,0,0,,,,,
Lenovo,Yoga,Intel,Core i7,11th,16 GB GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,Yes,122990,167890,26,3,4,2,,,,,
Lenovo,Legion,Intel,Core i7,11th,16 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,16,0,No,No,151098,224490,32,4.4,7,0,,,,,
Lenovo,Yoga,Intel,Core i7,11th,16 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,102990,104033,1,4.4,16,2,,,,,
Lenovo,Missing,Intel,Core i7,9th,16 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,4,ThinNlight,16,0,No,No,229900,272000,15,0,0,0,,,,,
Lenovo,Yoga,Intel,Core i7,10th,16 GB GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,16,0,No,No,119990,148082,18,2.5,2,1,,,,,
Lenovo,ThinkBook,Intel,Core i7,11th,16 GB GB,LPDDR4,1024 GB,0 GB,Windows,64-bit,0,Casual,13,1,No,Yes,85990,148158,41,3.4,7,2,,,,,
Lenovo,Legion,Intel,Core i7,10th,16 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,8,Casual,15.6,1,No,Yes,234990,349890,32,0,0,0,,,,,
Lenovo,Missing,Intel,Core i9,10th,16 GB GB,DDR4,1024 GB,0 GB,Windows,32-bit,8,Casual,15.6,0,No,No,265998,349890,23,0,0,0,,,,,
Lenovo,Legion,Intel,Genuine Windows,10th,4 GB GB,DDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,77890,110890,29,4.4,208,57,,,,,
Lenovo,Ryzen,AMD,Ryzen 3,Missing,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,34990,36923,5,3.3,38,6,,,,,
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,56990,83890,32,4.5,162,15,,,,,
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,48990,68990,28,4.4,219,27,,,,,
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,52990,78290,32,4.2,39,5,,,,,
Lenovo,Ideapad,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,59490,89490,33,4.5,92,10,,,,,
Lenovo,Legion,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,0,No,No,69990,107690,35,4.3,9,0,,,,,
Lenovo,Yoga,AMD,Ryzen 5,Missing,4 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,3,Yes,Yes,74798,104890,28,0,0,0,,,,,
Lenovo,Yoga,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,Yes,Yes,77990,104890,25,0,0,0,,,,,
Lenovo,Legion,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,Missing,0,No,No,76498,107690,28,0,0,0,,,,,
Lenovo,IDEAPAD,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,Missing,1,No,No,59900,62200,3,3.7,3,0,,,,,
Lenovo,Yoga,AMD,Ryzen 5,Missing,4 GB GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,16,3,Yes,Yes,81978,123090,33,0,0,0,,,,,
Lenovo,Legion,AMD,Ryzen 5,Missing,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Casual,15.6,0,No,No,68500,90890,24,4.5,271,24,,,,,
